7:121331,119173,118400,116663,116340,114781,114299,113827,113320,112525
18:102146,85561,81980,55439,43750,17608,32205,63512,85564,47812
19:17,302,654,76,616,58,8,866,84,29
36:122761,121331,120697,119173,118400,116663,116340,115665,114781,113827
37:121258,116027,102347,98357,93200,88244,87636,78398,75509,75086
41:121692,120592,119997,118810,117786,117046,116671,115048,113616,108616
42:84526,59697,59470,58746,50444,46051,41755,40438,18780,16198
43:117817,117670,109024,83692,18421,123338,121688,115469,112435,109971
44:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
45:117814,110820,83367,65088,61381,43527,40198,16456,26793,89008
46:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
59:122338,120446,119825,117339,114131,92714,69177,38570,35893,101442
60:114299,85678,59661,28213,15087,121331,119173,118400,116663,116340
69:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
70:112249,58000,26263,3245,121331,119173,118400,116663,116340,114781
94:121258,116027,102347,98357,93200,88244,87636,78398,75509,75086
106:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
115:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
116:123260,122961,119689,118864,116835,111781,110010,109111,108624,99396
142:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
143:120713,116359,110799,107116,106303,93049,73067,54752,54650,54193
148:122106,121873,120723,114292,111149,110192,107626,104907,104583,104322
150:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
156:112646,85727,81674,66268,63261,63055,59570,52043,47444,29641
161:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
171:114299,85678,59661,28213,15087,121331,119173,118400,116663,116340
172:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
174:122852,121164,120343,115036,112966,109231,108486,97816,93793,91046
177:121331,119173,118400,116663,116340,114781,113827,113320,112525,108219
196:114299,85678,59661,28213,15087,71092,68065,121331,119173,118400
202:104028,85669,118038,116653,109853,109039,91447,77924,74930,71109
211:121647,117058,97746,60838,58338,55785,51871,34167,32070,23308
217:121551,102226,100112,77980,47992,27866,14383,84526,59697,59470
220:58738,64973,7649,106057,92427,91800,83499,68179,65033,52444
223:114299,85678,59661,28213,15087,121331,119173,118400,116663,116340
224:122880,122164,121983,121738,121399,121164,121104,120543,120340,119762
225:121331,119173,118400,116663,116340,114781,114299,113827,113320,112525
